Total pages,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc id,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AVG: 3.5404503753,AVG: 21.7583333333,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1100,1,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
1101,1,3,18,18,14,15,,,,,,,,,,,,,,,,,,,,,,,
1102,1,4,25,25,15,18,13,,,,,,,,,,,,,,,,,,,,,,
1103,1,4,21,21,15,18,16,,,,,,,,,,,,,,,,,,,,,,
1104,2,3,19,19,18,12,,,,,,,,,,,,,,,,,,,,,,,
1105,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
1106,1,4,24,24,19,16,9,,,,,,,,,,,,,,,,,,,,,,
1107,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
1108,1,7,31,31,11,15,16,12,14,13,,,,,,,,,,,,,,,,,,,
1109,2,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
1110,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1111,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
1112,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1113,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
1114,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
1115,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
1116,2,3,18,18,18,10,,,,,,,,,,,,,,,,,,,,,,,
1117,1,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
1118,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
1119,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
1120,1,4,41,41,24,29,24,,,,,,,,,,,,,,,,,,,,,,
1121,1,14,60,60,22,24,25,25,22,20,17,15,15,16,15,11,13,,,,,,,,,,,,
1122,1,11,63,63,16,15,19,22,17,18,16,9,13,16,,,,,,,,,,,,,,,
1123,1,7,46,46,24,20,19,22,21,18,,,,,,,,,,,,,,,,,,,
1124,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
1125,1,2,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,
1126,1,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,
1127,2,10,60,60,15,13,18,20,16,16,19,23,11,,,,,,,,,,,,,,,,
1128,1,6,46,46,20,23,23,17,15,,,,,,,,,,,,,,,,,,,,
1129,1,3,21,21,14,20,,,,,,,,,,,,,,,,,,,,,,,
1130,1,9,35,35,11,10,14,15,8,5,12,9,,,,,,,,,,,,,,,,,
1131,1,4,20,20,14,13,10,,,,,,,,,,,,,,,,,,,,,,
1132,1,3,14,14,13,9,,,,,,,,,,,,,,,,,,,,,,,
1133,1,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,
1134,1,3,22,22,21,15,,,,,,,,,,,,,,,,,,,,,,,
1135,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1136,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1137,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
1138,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
1139,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1140,1,3,22,22,18,17,,,,,,,,,,,,,,,,,,,,,,,
1141,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
1142,2,3,14,14,12,10,,,,,,,,,,,,,,,,,,,,,,,
1143,1,4,32,32,23,21,12,,,,,,,,,,,,,,,,,,,,,,
1144,1,2,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,
1145,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
1146,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1147,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
1148,1,7,48,48,15,21,22,22,22,16,,,,,,,,,,,,,,,,,,,
1149,1,10,52,52,19,19,22,23,18,13,22,20,9,,,,,,,,,,,,,,,,
1150,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
1151,1,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
1152,1,4,21,21,14,13,11,,,,,,,,,,,,,,,,,,,,,,
1153,1,2,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,
1154,2,4,29,29,21,21,14,,,,,,,,,,,,,,,,,,,,,,
1155,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
1156,2,15,68,68,21,23,24,20,15,15,15,22,22,16,17,21,21,15,,,,,,,,,,,
1157,1,2,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,
1158,2,6,49,49,23,22,20,23,19,,,,,,,,,,,,,,,,,,,,
1159,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
1160,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1161,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
1162,2,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
1163,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
1164,2,4,30,30,12,20,23,,,,,,,,,,,,,,,,,,,,,,
1165,2,7,42,42,12,18,20,15,16,13,,,,,,,,,,,,,,,,,,,
1166,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
1167,2,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
1168,1,12,55,55,16,18,20,19,19,19,15,14,12,15,10,,,,,,,,,,,,,,
1169,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
1170,1,6,41,41,14,13,16,20,21,,,,,,,,,,,,,,,,,,,,
1171,1,3,21,21,18,18,,,,,,,,,,,,,,,,,,,,,,,
1172,2,8,56,56,22,22,23,24,22,20,19,,,,,,,,,,,,,,,,,,
1173,1,7,30,30,15,15,17,9,14,12,,,,,,,,,,,,,,,,,,,
1174,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
1175,1,3,22,22,19,15,,,,,,,,,,,,,,,,,,,,,,,
1176,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1177,2,4,33,33,18,21,17,,,,,,,,,,,,,,,,,,,,,,
1178,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
1179,2,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
1180,1,3,26,26,22,17,,,,,,,,,,,,,,,,,,,,,,,
1181,1,3,21,21,21,19,,,,,,,,,,,,,,,,,,,,,,,
1182,1,2,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,
1183,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
1184,1,5,21,21,12,15,13,6,,,,,,,,,,,,,,,,,,,,,
1185,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1186,1,5,32,32,19,19,21,11,,,,,,,,,,,,,,,,,,,,,
1187,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
1188,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
1189,1,3,12,12,11,12,,,,,,,,,,,,,,,,,,,,,,,
1190,1,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
1191,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1192,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
1193,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
1194,1,3,21,21,20,11,,,,,,,,,,,,,,,,,,,,,,,
1195,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
1196,1,7,37,37,10,17,19,16,20,19,,,,,,,,,,,,,,,,,,,
1197,1,12,67,67,17,20,22,24,21,21,18,14,16,19,12,,,,,,,,,,,,,,
1198,1,3,21,21,20,14,,,,,,,,,,,,,,,,,,,,,,,
1199,1,5,28,28,11,14,15,13,,,,,,,,,,,,,,,,,,,,,
